,KKKD068,KKKD068_V1,KKKD068_V2,KKU055,KKU055_V1,KKU055_V2,KKU213c,KKU213c_V1,KKU213c_V2,RBE,RBE_V1,RBE_V2
ENSG00000008083,5.098779,6.627998,5.342644,4.762634,4.787228,4.442524,12.565528,15.182075,16.544531,6.596544,7.852988,9.89703
ENSG00000008086,1.80112,3.592103,2.925962,0.951949,2.499415,3.005007,4.15651,4.811784,7.364482,1.024738,2.413778,4.007678
ENSG00000008118,0,0.036747,0,0,0,0.167181,0,0,0,0.089799,0.115104,0.046352
ENSG00000008128,41.782438,38.689587,32.329534,58.503039,55.626089,53.024073,27.252575,23.197761,26.393041,23.129288,18.394404,16.778679
ENSG00000008130,96.531022,80.655796,74.172597,67.163676,54.675285,45.065029,48.165689,31.348166,30.154634,27.694145,31.4879,21.064227
ENSG00000008196,0,0.014551,0,0.012202,0.01223,0.009821,0,0,0,0,0,0
ENSG00000008197,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000008226,0.173902,0.411349,0.281612,0.445378,0.32435,0.366846,0.189035,0.323761,0.626956,0.025452,0.040817,0.374452
ENSG00000008256,8.745305,8.712107,8.498213,6.168233,8.574168,7.869668,27.936679,25.660613,25.032461,12.966143,18.031833,28.253544
ENSG00000008277,1.482192,9.516845,10.788694,8.427034,5.051982,7.321471,0.601535,0.569463,0.734338,2.11415,1.987325,3.24348
ENSG00000008282,172.247746,137.343419,137.694731,71.023404,53.016466,56.57782,114.371919,91.173175,94.828832,86.292094,67.348069,62.379157
