"","Gene","SYMBOL","ENTREZID","KKU213c","KKU213c_V1","KKU213c_V2"
"120","ENSG00000006047","YBX2","51087",0.112215,0.238168,0.395487
"121","ENSG00000006059","KRT33A","3883",0.351823,1.020636,1.036048
"122","ENSG00000006062","MAP3K14","9020",16.080419,12.528501,14.624325
"125","ENSG00000006118","TMEM132A","54972",80.553179,88.049648,92.45657
"126","ENSG00000006125","AP2B1","163",148.970378,118.917229,128.488739
"128","ENSG00000006194","ZNF263","10127",13.17332,17.628113,19.901079
"129","ENSG00000006210","CX3CL1","6376",0.021959,0.016603,0
"130","ENSG00000006282","SPATA20","64847",4.620108,4.166136,4.375921
"131","ENSG00000006283","CACNA1G","8913",0,0.045788,0.048594
"132","ENSG00000006327","TNFRSF12A","51330",184.801831,98.08598,94.896192
"134","ENSG00000006432","MAP3K9","4293",8.548808,7.405293,8.584963
