"","Gene","SYMBOL","ENTREZID","KKU055","KKU055_V1","KKU055_V2"
"11041","ENSG00000163755","HPS3","84343",20.193259,31.690125,31.654836
"11042","ENSG00000163762","TM4SF18","116441",20.407265,29.622305,35.768246
"11043","ENSG00000163781","TOPBP1","11073",37.523679,32.144783,35.774404
"11044","ENSG00000163785","RYK","6259",48.733675,48.340866,48.836305
"11045","ENSG00000163788","SNRK","54861",7.051258,8.164969,6.429821
"11046","ENSG00000163792","TCF23","150921",0.043646,0.157741,0.032725
"11047","ENSG00000163793","DNAJC5G","285126",0,0.051439,0.206551
"11048","ENSG00000163794","UCN","7349",1.112909,1.73067,1.588726
"11049","ENSG00000163795","ZNF513","130557",1.363712,1.662811,2.166232
"11050","ENSG00000163798","SLC4A1AP","22950",20.251581,22.528764,21.070056
"11051","ENSG00000163803","PLB1","151056",0.040929,0.061527,0.016469
"11052","ENSG00000163806","SPDYA","245711",0,0.171064,0.174749
"11053","ENSG00000163807","KIAA1143","57456",51.872018,43.086688,48.413311
"11054","ENSG00000163808","KIF15","56992",29.778938,23.647946,22.958391
"11056","ENSG00000163811","WDR43","23160",62.650616,51.416788,47.548889
"11057","ENSG00000163812","ZDHHC3","51304",54.59344,61.234883,60.986657
"11058","ENSG00000163814","CDCP1","64866",22.149918,37.141739,37.935846
"11060","ENSG00000163817","SLC6A20","54716",0.161831,0.175726,0.35651
"11061","ENSG00000163818","LZTFL1","54585",6.489449,7.707825,8.883054
"11062","ENSG00000163820","FYCO1","79443",16.067924,12.782494,13.037768
"11063","ENSG00000163823","CCR1","1230",0.190136,1.496932,0.939831
"11065","ENSG00000163827","LRRC2","79442",0,0.193607,0.156572
"11066","ENSG00000163832","ELP6","54859",69.263693,50.002265,46.668606
"11068","ENSG00000163840","DTX3L","151636",10.183907,6.168118,6.111878
"11069","ENSG00000163848","ZNF148","7707",14.825236,11.905346,10.539144
"11070","ENSG00000163864","NMNAT3","349565",18.120837,33.073074,29.156285
"11071","ENSG00000163866","SMIM12","113444",43.250547,46.991091,40.897214
"11072","ENSG00000163867","ZMYM6","9204",13.172517,19.609326,12.296804
"11073","ENSG00000163870","TPRA1","131601",19.945673,17.38883,16.868811
"11074","ENSG00000163872","YEATS2","55689",21.347178,17.822133,18.279927
"11076","ENSG00000163874","ZC3H12A","80149",8.925922,13.040332,11.537663
"11077","ENSG00000163875","MEAF6","64769",88.966636,66.86227,60.694251
"11078","ENSG00000163877","SNIP1","79753",11.807292,12.130113,11.457485
"11079","ENSG00000163879","DNALI1","7802",9.635436,5.094955,6.743616
"11080","ENSG00000163882","POLR2H","5437",94.375139,128.680969,127.45932
"11081","ENSG00000163884","KLF15","28999",0.521953,1.133121,1.116601
"11083","ENSG00000163888","CAMK2N2","94032",4.727123,6.371129,8.674072
"11084","ENSG00000163898","LIPH","200879",0.035693,1.144741,1.708956
"11085","ENSG00000163900","TMEM41A","90407",12.550213,12.24464,12.498544
"11086","ENSG00000163902","RPN1","6184",168.465429,167.061962,163.967595
"11087","ENSG00000163904","SENP2","59343",22.88337,22.427097,25.535126
"11088","ENSG00000163909","HEYL","26508",0.513669,2.63336,2.496275
"11089","ENSG00000163913","IFT122","55764",12.026101,15.164168,9.333189
"11091","ENSG00000163918","RFC4","5984",56.407667,45.532953,42.485942
"11092","ENSG00000163923","RPL39L","116832",10.716118,11.342331,11.709996
"11093","ENSG00000163930","BAP1","8314",64.415131,55.338227,55.730733
"11094","ENSG00000163931","TKT","7086",607.556128,705.997638,659.618479
"11095","ENSG00000163932","PRKCD","5580",10.857541,12.717681,14.779214
"11096","ENSG00000163933","RFT1","91869",43.346176,30.803204,33.431698
"11097","ENSG00000163935","SFMBT1","51460",22.324924,18.675129,18.711608
"11098","ENSG00000163938","GNL3","26354",202.035701,176.419907,177.14212
"11099","ENSG00000163939","PBRM1","55193",46.423949,23.671803,27.049615
"11100","ENSG00000163945","UVSSA","57654",10.021843,15.610421,13.711204
"11101","ENSG00000163946","TASOR","23272",42.078005,44.491378,47.175449
"11102","ENSG00000163947","ARHGEF3","50650",2.511438,5.509236,5.422644
"11103","ENSG00000163950","SLBP","7884",101.8908,95.595872,93.946544
"11104","ENSG00000163956","LRPAP1","4043",85.530759,108.520618,116.967644
"11105","ENSG00000163958","ZDHHC19","131540",0.127395,0.411001,0.205246
"11106","ENSG00000163959","SLC51A","200931",0.136973,0.082646,0.209718
